trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
502,False,"{'a': 0.5, 'e': 0.9468777054203809}",25,0,-141.539719858309,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
503,False,"{'a': 0.5, 'e': 0.985143672202234}",25,0,-139.80955492792978,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
504,False,"{'a': 0.5, 'e': 0.7822121099422712}",20,0,-77.96692944695681,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
505,False,"{'a': 0.5, 'e': 0.3877677425673905}",20,4,-26.642807972872333,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
506,False,"{'a': 0.5, 'e': 0.10161569206079699}",35,22,24.039919916258576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.5661200613013454}",20,13,-7.00958901108462,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
508,False,"{'a': 0.5, 'e': 0.892018495407942}",20,13,-8.78143156201548,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
509,False,"{'a': 0.5, 'e': 0.9995196916060495}",20,0,-62.14972090060803,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
510,False,"{'a': 0.5, 'e': 0.8623036078310824}",25,0,-153.74797897241461,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
511,False,"{'a': 0.5, 'e': 0.5139655269693756}",20,0,-11.958563217904736,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.03979075993115771}",25,5,32.630927864317236,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.5, 'e': 0.4441261728894752}",25,15,-1.774442461694358,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.8193055291449822}",20,1,-102.90363695697609,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
515,False,"{'a': 0.5, 'e': 0.9938903175865266}",20,0,-92.05902807871057,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
516,False,"{'a': 0.5, 'e': 0.9251360931462582}",30,0,-19.63389994060344,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
517,False,"{'a': 0.5, 'e': 0.6298762878545608}",35,11,-83.97626286316793,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 1}",1
518,False,"{'a': 0.5, 'e': 0.18040079959254857}",25,13,8.542731560650338,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
519,False,"{'a': 0.5, 'e': 0.3132430961075599}",20,12,13.146480841522598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.5, 'e': 0.7301941571456378}",20,10,-77.52938981890509,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
521,False,"{'a': 0.5, 'e': 0.9683682221029407}",25,0,-212.7403506088043,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
